	WASTE MANAGENT AVERAGE PRICE PER TON (SOLD)									SURVEY AVERAGE PRICE PER TON																																										
Feb-95	95	2	"$1,360.58"	$5.37	$95.38	$137.67	$503.49	$44.64	$40.00	"$1,560.00"	$673.33	$45.00	$75.00	$30.00	$20.00	$46.00	$25.00	$33.00																																		
Mar-95	95	3	"$1,217.17"	$5.24	$105.04	$145.00	$548.29	$44.64	$43.78	"$1,410.00"	$633.33	$40.00	$65.00	$30.00	$20.00	$46.00	$25.00	$33.00																																		
Apr-95	95	4	"$1,260.72"	$5.23	$115.50	$166.62	$647.84	$44.64	$41.78	"$1,300.00"	$600.00	$60.00	$90.00	$33.33	$20.00	$43.00	$25.00	$33.00																																		
May-95	95	5	"$1,216.60"	$4.98	$124.95	$198.56	$620.66	$44.64	$40.00	"$1,300.00"	$620.00	$65.00	$115.00	$51.67	$20.00	$43.00	$25.00	$33.00																																		
Jun-95	95	6	"$1,211.02"	$5.55	$135.88	$230.00	$480.97	$44.64	$40.00	"$1,300.00"	$586.67	$75.00	$125.00	$51.67	$20.00	$43.00	$25.00	$33.00																																		
Jul-95	95	7	"$1,217.85"	$5.34	$98.21	$180.55	$395.14	$43.75	$35.00	"$1,300.00"	$586.67	$55.00	$115.00	$51.67	$20.00	$37.00	$25.00	$33.00																																		
Aug-95	95	8	"$1,282.80"	$4.64	$94.63	$169.29	$432.85	$43.75	$35.00	"$1,300.00"	$587.67	$45.00	$95.00	$51.67	$20.00	$37.00	$25.00	$33.00																																		
Sep-95	95	9	"$1,169.10"	$4.85	$72.48	$169.64	$308.53	$43.75	$35.00	"$1,380.00"	$586.67	$45.00	$95.00	$51.67	$20.00	$37.00	$25.00	$33.00																																		
Oct-95	95	10	"$1,099.72"	$5.21	$40.14	$139.10	$371.41	$43.75	$35.00	"$1,260.00"	$533.33	$35.00	$85.00	$51.67	$20.00	$47.00	$25.00	$33.00																																		
Nov-95	95	11	"$1,067.62"	$4.85	$7.41	$110.00	$261.85	$42.00	$35.00	"$1,140.00"	$500.00	$10.00	$40.00	$31.67	$20.00	$47.00	$25.00	$33.00																																		
Dec-95	95	12	"$1,092.32"	$4.39	$16.43	$80.00	$302.05	$40.00	$38.83	"$1,140.00"	$513.00	-$0.50	$27.50	$21.67	$20.00	$40.00	$23.00	$30.00																																		
Jan-96	96	1	"$1,079.40"	$3.96	$34.53	$80.00	$282.43	$40.00	$30.00	"$1,180.00"	$513.00	$15.00	$27.50	$21.67	$20.00	$36.00	$23.00	$30.00																																		
Feb-96	96	2	"$1,052.37"	$4.07	$30.73	$70.00	$256.97	$40.00	$30.00	"$1,120.00"	$480.00	$15.00	$27.50	$20.00	$20.00	$36.00	$23.00	$30.00																																		
Mar-96	96	3	"$1,074.17"	$4.60	$23.19	$60.87	$254.63	$40.00	$30.00	"$1,120.00"	$493.33	$10.00	$27.50	$15.00	$20.00	$36.00	$23.00	$30.00																																		
Apr-96	96	4	"$1,069.55"	$3.20	$11.02	$50.25	$248.84	$37.50	$30.00	"$1,140.00"	$513.33	$10.00	$27.50	$11.67	$20.00	$34.00	$23.00	$30.00																																		
May-96	96	5	"$1,031.88"	$2.72	$21.40	$45.24	$233.03	$37.50	$30.00	"$1,180.00"	$513.33	$2.50	$22.50	$10.00	$20.00	$34.00	$23.00	$30.00																																		
Jun-96	96	6	$908.45	$5.58	$18.96	$57.99	$208.85	$37.50	$30.00	"$1,180.00"	$506.67	$2.50	$22.50	$10.00	$20.00	$36.00	$20.00	$23.00																																		
Jul-96	96	7	$886.32	$7.93	$15.47	$58.90	$216.44	$48.00	$37.04	$950.00	$453.34	$2.50	$22.50	$11.67	$20.00	$36.00	$20.00	$23.00																																		
Aug-96	96	8	$926.43	$4.78	$9.31	$57.21	$166.99	$48.00	$30.00	$950.00	$453.34	$2.50	$27.50	$11.67	$80.00	$36.00	$20.00	$23.00																																		
Sep-96	96	9	$934.62	$3.56	$4.38	$57.64	$184.97	$48.00	$30.00	"$1,020.00"	$466.67	$2.50	$27.50	$11.67	$40.00	$36.00	$20.00	$23.00																																		
Oct-96	96	10	$858.77	$4.22	$14.48	$57.26	$220.04	$45.00	$30.00	$940.00	$460.00	$2.50	$27.50	$11.67	$30.00	$36.00	$20.00	$23.00																																		
Nov-96	96	11	$940.39	$4.04	$13.39	$59.89	$236.62	$41.00	$29.60	$940.00	$433.33	$2.50	$27.50	$11.67	$30.00	$36.00	$20.00	$23.00																																		
Dec-96	96	12	"$1,007.01"	$4.41	$12.01	$55.00	$213.13	$41.00	$25.00	$940.00	$453.33	$2.50	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Jan-97	97	1	"$1,063.18"	$4.21	$7.32	$55.00	$210.66	$41.00	$25.00	"$1,070.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Feb-97	97	2	"$1,098.25"	$5.05	$14.54	$50.00	$251.78	$43.00	$27.54	"$1,180.00"	$480.00	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Mar-97	97	3	"$1,125.25"	$5.68	$18.26	$50.00	$256.78	$43.00	$25.00	"$1,180.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Apr-97	97	4	"$1,078.58"	$4.53	$20.42	$50.00	$256.50	$43.00	$25.00	"$1,180.00"	$466.67	$0.00	$27.50	$11.67	$60.00	$33.00	$20.00	$23.00																																		
May-97	97	5	$984.40	$7.82	$23.45	$63.85	$286.03	$43.00	$34.55	"$1,170.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Jun-97	97	6	$976.00	$7.31	$17.49	$60.24	$281.12	$43.00	$25.00	"$1,180.00"	$466.67	$5.00	$35.00	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Jul-97	97	7	$963.49	$9.45	$33.19	$60.00	$280.65	$43.00	$25.00	"$1,160.00"	$466.67	$10.00	$40.00	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Aug-97	97	8	"$1,002.97"	$9.45	$35.51	$60.00	$260.37	$43.00	$25.00	"$1,180.00"	$466.67	$10.00	$40.00	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Sep-97	97	9	"$1,014.46"	$11.96	$39.10	$75.46	$292.63	$43.00	$25.00	"$1,160.00"	$506.67	$15.00	$45.00	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Oct-97	97	10	"$1,046.46"	$7.50	$27.00	$75.00	$295.81	$43.00	$25.00	"$1,160.00"	$486.67	$20.00	$45.00	$11.67	$30.00	$33.00	$20.00	$23.00																																		
Nov-97	97	11	"$1,062.73"	$7.28	$27.92	$68.40	$295.81	$40.00	$25.00	"$1,180.00"	$486.67	$20.00	$45.00	$11.67	$30.00	$39.20	$20.00	$23.00																																		
Dec-97	97	12	$979.41	$9.74	$21.37	$64.79	$245.54	$40.00	$25.00	"$1,180.00"	$486.67	$17.50	$45.00	$11.67	$30.00	$39.20	$20.00	$23.00																																		
Jan-98	98	1	$935.41	$6.57	$16.76	$50.34	$241.66	$40.00	$25.00	"$1,100.00"	$486.67	$17.50	$40.00	$11.67	$30.00	$39.20	$20.00	$23.00																																		
Feb-98	98	2	$918.68	$13.08	$22.50	$55.55	$259.66	$40.00	$25.00	"$1,100.00"	$486.67	$12.50	$35.00	$10.00	$30.00	$39.20	$20.00	$23.00																																		
Mar-98	98	3	$891.82	$7.42	$22.50	$53.03	$241.45	$38.00	$20.00	"$1,140.00"	$480.00	$12.50	$35.00	$10.00	$30.00	$39.20	$20.00	$23.00																																		
Apr-98	98	4	$836.56	$7.09	$24.00	$54.91	$256.72	$38.00	$20.00	"$1,140.00"	$473.33	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00																																		
May-98	98	5	$777.05	$8.34	$26.00	$62.67	$244.50	$38.00	$47.00	"$1,050.00"	$460.00	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00																																		
Jun-98	98	6	$745.51	$3.63	$30.00	$65.37	$219.37	$38.00	$47.00	$950.00	$453.33	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00																																		
Jul-98	98	7	$698.45	$7.02		$61.99	$216.11	$38.00	$47.00	$910.00	$433.33	$17.50	$30.00	$10.00	$30.00	$32.48	$20.00	$23.00																																		
Aug-98	98	8	$747.63	$6.94	$30.00	$68.22	$181.28	$33.00	$35.00	$910.00	$413.33	$17.50	$35.00	$10.00	$30.00	$31.36	$20.00	$23.00																																		
Sep-98	98	9	$805.74	$7.31	$30.00	$70.00	$166.65	$20.00	$24.00	$890.00	$413.33	$17.50	$35.00	$11.67	$30.00	$26.36	$20.00	$23.00																																		
Oct-98	98	10	$762.02	$6.74	$24.83	$59.34	$175.15	$10.00	$19.36	$890.00	$433.33	$17.50	$30.00	$10.00	$30.00	$16.00	$20.00	$23.00																																		
Nov-98	98	11	$756.43	$7.69	$20.62	$54.60	$141.74	-$10.00	$12.00	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	$5.00	$20.00	$23.00																																		
Dec-98	98	12	$706.75	$5.44	$22.28	$55.08	$129.04	-$10.00	$0.00	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	-$13.00	$20.00	$23.00																																		
Jan-99	99	1	$681.77	$5.77	$26.33	$59.34	$112.61	-$6.00	$17.00	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	-$13.00	$20.00	$23.00																																		
Feb-99	99	2	$709.65	$6.78	$32.24	$74.38	$123.42	$0.00	$15.87	$890.00	$420.00	$12.50	$35.00	$10.00	$30.00	-$8.00	$20.00	$23.00																																		
Mar-99	99	3	$693.61	$5.78	$33.00	$73.83	$118.01	-$10.00	$10.00	$890.00	$420.00	$12.50	$35.00	$13.33	$30.00	-$3.00	$20.00	$23.00																																		
Apr-99	99	4	$735.35	$5.09	$31.59	$72.08	$133.76	-$10.00	$12.00	$910.00	$420.00	$12.50	$35.00	$13.33	$30.00	-$13.00	$20.00	$23.00																																		
May-99	99	5	$772.82	$6.95	$30.63	$67.50	$160.00	$0.00	$12.00	$950.00	$433.33	$12.50	$30.00	$13.33	$30.00	-$13.00	$20.00	$23.00																																		
Jun-99	99	6	$767.00	$4.94	$42.43	$76.72	$175.42	$0.00	$12.00	$950.00	$433.33	$12.50	$30.00	$13.33	$30.00	-$3.00	$20.00	$23.00																																		
Jul-99	99	7	$882.80	$7.02	$61.33	$83.61	$190.16	$0.00	$12.00	$930.00	$433.33	$17.50	$32.50	$15.00	$30.00	-$3.00	$20.00	$23.00																																		
Aug-99	99	8	$861.16	$6.39	$61.00	$81.51	$199.21	$0.00	$12.00	$980.00	$433.33	$22.50	$42.50	$16.67	$30.00	-$3.00	$20.00	$23.00																																		
Sep-99	99	9	$890.85	$6.21	$59.86	$94.17	$203.53	$10.00	$12.00	$980.00	$433.33	$22.50	$47.50	$20.00	$30.00	-$3.00	$20.00	$23.00																																		
Oct-99	99	10	$999.64	$6.93	$62.65	$102.49	$247.53	$9.88	$12.00	$980.00	$433.33	$22.50	$47.50	$20.00	$30.00	-$6.00	$20.00	$23.00																																		
Nov-99	99	11	$883.23	$6.33	$64.79	$104.22	$229.37	$15.00	$12.00	"$1,110.00"	$433.33	$27.50	$52.50	$20.00	$30.00	$6.00	$20.00	$23.00																																		
Dec-99	99	12	$903.10	$17.92	$68.09	$103.19	$227.64	$17.92	$12.00	"$1,110.00"	$433.33	$27.50	$52.50	$20.00	$30.00	$11.00	$20.00	$23.00																																		
Jan-00	2000	1	$944.88	$15.81	$69.24	$105.82	$213.91	$18.00	$12.00	"$1,270.00"	$466.67	$27.50	$52.50	$20.00	$30.00	$13.00	$20.00	$23.00																																		
Feb-00	2000	2	$848.37	$18.47	$76.34	$112.98	$266.19	$10.00	$17.54	"$1,230.00"	$500.00	$32.50	$60.00	$21.67	$30.00	$4.00	$20.00	$23.00																																		
Mar-00	2000	3	$863.02	$17.01	$82.36	$126.71	$261.70	$6.00	$15.00	"$1,230.00"	$500.00	$35.50	$62.50	$21.67	$30.00	$4.00	$20.00	$23.00																																		
Apr-00	2000	4	"$1,080.00"	$3.19	$99.12	$153.52	$138.48	$22.75	$0.00	"$1,090.00"		$40.00	$75.00			$2.50	$20.00	$23.00		$180.00																																
May-00	2000	5	"$1,036.18"	$2.10	$103.35	$161.00	$113.66	$22.23	$0.00	"$1,090.00"		$40.00	$75.00			$2.50	$20.00	$23.00		$180.00																																
Jun-00	2000	6	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,090.00"		$35.00	$72.50			$2.50	$20.00	$23.00		$190.00																																
Jul-00	2000	7	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,140.00"		$37.50	$47.50			$2.50	$20.00	$23.00		$190.00																																
Aug-00	2000	8	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,140.00"		$37.50	$42.50			$2.50	$20.00	$23.00		$190.00																																
Sep-00	2000	9	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,140.00"		$37.50	$42.50			$7.50	$20.00	$23.00		$190.00																																
Oct-00	2000	10	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,070.00"		$42.50	$52.50			$7.50	$20.00	$23.00		$200.00																																
Nov-00	2000	11	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,070.00"		$37.50	$47.50			$10.00	$20.00	$23.00		$200.00																																
Dec-00	2000	12	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,070.00"		$32.50	$42.50			$10.00	$20.00	$23.00		$180.00																																
Jan-01	2001	1	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,110.00"		$32.50	$42.50			$10.00	$20.00	$23.00		$160.00																																
Feb-01	2001	2	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,110.00"		$32.50	$42.50			$10.00	$20.00	$23.00		$140.00																																
Mar-01	2001	3	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,110.00"		$32.50	$42.50			$10.00	$20.00	$23.00		$100.00																																
Apr-01	2001	4	"$1,087.90"	$1.25	$125.24	$151.00	$117.39	$22.92	$0.00	"$1,090.00"		$27.50	$37.50			$10.00	$20.00	$23.00		$100.00																																
May-01	2001	5	"$1,009.92"	-$5.42	$47.51	$90.00	$98.89	$12.14	$0.00	"$1,050.00"		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Jun-01	2001	6	$930.41	-$5.42	$22.50	$85.00	$79.13	$10.36	$0.00	$990.00		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Jul-01	2001	7	$949.37	-$5.42	$22.50	$85.00	$105.14	$10.36	$0.00	$930.00		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Aug-01	2001	8	$925.81	-$5.42	$22.50	$83.95	$96.04	$10.36	$0.00	$910.00		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Sep-01	2001	9	$915.34	-$5.42	$22.50	$83.98	$107.62	$11.87	$0.00	$910.00		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Oct-01	2001	10	$925.81	-$5.42	$22.50	$83.95	$96.04	$10.36	$0.00	$890.00		$22.50	$32.50			$10.00	$20.00	$23.00		$110.00																																
Nov-01	2001	11	$925.81	-$5.42	$22.50	$83.95	$96.04	$10.36	$0.00	$890.00		$22.50	$27.50			$10.00	$17.00	$23.00		$100.00																																
Dec-01	2001	12	$925.81	-$5.42	$22.50	$83.95	$96.04	$10.36	$0.00	$890.00		$22.50	$27.50			$10.00	$17.00	$23.00		$100.00																																
