SPU Residential Survey Market Prices ($/Ton)												
		Baled	Loose	Mixed	Baled	Loose	Loose		Brown	Clear	Green	OCC
91	6		$326.67	$5.00		$8.33		$30.00				
91	7		$326.67	-$2.50		$8.33		$30.00				
91	8		$340.00	-$2.50		$5.83		$30.00				
91	9		$366.67	-$2.50		$5.83		$30.00				
91	10		$366.67	-$2.50		$5.83		$30.00				
91	11		$320.00	$0.00		$7.50		$30.00				
91	12		$326.67	$0.00		$7.50		$30.00				
92	1		$340.00	$0.00		$7.50		$30.00				
92	2		$340.00	$0.00		$7.50		$30.00				
92	3		$346.67	$0.00		$7.50		$30.00				
92	4		$393.33	$0.00		$7.50		$30.00				
92	5		$413.33	-$2.50		$7.50		$30.00				
92	6		$413.33	-$5.00		$7.50		$22.00				
92	7		$400.00	-$5.00		$7.50		$22.00				
92	8		$400.00	-$5.00		$6.67		$22.00				
92	9		$413.33	-$5.00		$6.67		$22.00				
92	10		$400.00	-$5.00		$6.67		$22.00				
92	11		$400.00	-$5.00		$6.67		$22.00				
92	12		$400.00	-$5.00		$6.67		$22.00				
93	1		$413.33	-$5.00		$8.33		$22.00				
93	2		$413.33	-$5.00		$9.17		$22.00				
93	3	$0.00	$413.33	-$5.00	$0.00	$9.17	$0.00	$22.00	$0.00	$0.00		
93	4	$740.00	$393.33	-$5.00	$25.00	$9.17	$40.00	$22.00	$33.00	$33.00		
93	5	$700.00	$366.67	-$20.00	$25.00	$10.00	$20.00	$22.00	$33.00	$33.00		
93	6	$700.00	$373.33	-$20.00	$17.50	$13.33	$20.00	$25.00	$33.00	$33.00		
93	7	$700.00	$353.33	-$20.00	$17.50	$10.00	$20.00	$25.00	$33.00	$33.00		
93	8	$760.00	$353.33	-$15.00	$12.50	$8.33	$20.00	$25.00	$33.00	$33.00		
93	9	$730.00	$353.33	-$15.00	$12.50	$10.00	$20.00	$25.00	$33.00	$33.00		
93	10	$730.00	$353.00	-$15.00	$12.50	$8.33	$20.00	$25.00	$33.00	$33.00		
93	11	$690.00	$340.00	-$15.00	$12.50	$8.33	$30.00	$27.00	$33.00	$33.00		
93	12	$670.00	$340.00	-$15.00	$12.50	$8.33	$20.00	$29.00	$33.00	$33.00		
94	1	$700.00	$340.00	-$10.00	$12.50	$8.33	$20.00	$29.00	$25.00	$33.00		
94	2	$820.00	$406.67	-$10.00	$17.50	$8.33	$20.00	$29.00	$25.00	$33.00		
94	3	$850.00	$433.33	-$5.00	$17.50	$8.33	$20.00	$29.00	$25.00	$33.00		
94	4	$850.00	$433.33	-$5.00	$17.50	$10.00	$20.00	$29.00	$25.00	$33.00		
94	5	$910.00	$400.00	$0.00	$17.50	$10.00	$20.00	$29.00	$25.00	$33.00		
94	6	$910.00	$406.67	$0.00	$17.50	$11.67	$20.00	$29.00	$25.00	$33.00		
94	7	"$1,060.00"	$453.33	$7.50	$27.50	$11.67	$20.00	$36.00	$25.00	$33.00		
94	8	"$1,120.00"	$460.00	$22.50	$42.50	$15.00	$20.00	$36.00	$25.00	$33.00		
94	9	"$1,120.00"	$460.00	$22.50	$52.50	$15.00	$20.00	$40.00	$25.00	$33.00		
94	10	"$1,120.00"	$460.00	$17.50	$50.00	$15.00	$20.00	$46.00	$25.00	$33.00		
94	11	"$1,340.00"	$593.33	$15.00	$40.00	$15.00	$20.00	$46.00	$25.00	$33.00		
94	12	"$1,420.00"	$666.67	$15.00	$45.00	$18.33	$20.00	$46.00	$25.00	$33.00		
95	1	"$1,420.00"	$666.67	$35.00	$65.00	$26.67	$20.00	$46.00	$25.00	$33.00		
95	2	"$1,560.00"	$673.33	$45.00	$75.00	$30.00	$20.00	$46.00	$25.00	$33.00		
95	3	"$1,410.00"	$633.33	$40.00	$65.00	$30.00	$20.00	$46.00	$25.00	$33.00		
95	4	"$1,300.00"	$600.00	$60.00	$90.00	$33.33	$20.00	$43.00	$25.00	$33.00		
95	5	"$1,300.00"	$620.00	$65.00	$115.00	$51.67	$20.00	$43.00	$25.00	$33.00		
95	6	"$1,300.00"	$586.67	$75.00	$125.00	$51.67	$20.00	$43.00	$25.00	$33.00		
95	7	"$1,300.00"	$586.67	$55.00	$115.00	$51.67	$20.00	$37.00	$25.00	$33.00		
95	8	"$1,300.00"	$587.67	$45.00	$95.00	$51.67	$20.00	$37.00	$25.00	$33.00		
95	9	"$1,380.00"	$586.67	$45.00	$95.00	$51.67	$20.00	$37.00	$25.00	$33.00		
95	10	"$1,260.00"	$533.33	$35.00	$85.00	$51.67	$20.00	$47.00	$25.00	$33.00		
95	11	"$1,140.00"	$500.00	$10.00	$40.00	$31.67	$20.00	$47.00	$25.00	$33.00		
95	12	"$1,140.00"	$513.00	-$0.50	$27.50	$21.67	$20.00	$40.00	$23.00	$30.00		
96	1	"$1,180.00"	$513.00	$15.00	$27.50	$21.67	$20.00	$36.00	$23.00	$30.00		
96	2	"$1,120.00"	$480.00	$15.00	$27.50	$20.00	$20.00	$36.00	$23.00	$30.00		
96	3	"$1,120.00"	$493.33	$10.00	$27.50	$15.00	$20.00	$36.00	$23.00	$30.00		
96	4	"$1,140.00"	$513.33	$10.00	$27.50	$11.67	$20.00	$34.00	$23.00	$30.00		
96	5	"$1,180.00"	$513.33	$2.50	$22.50	$10.00	$20.00	$34.00	$23.00	$30.00		
96	6	"$1,180.00"	$506.67	$2.50	$22.50	$10.00	$20.00	$36.00	$20.00	$23.00		
96	7	$950.00	$453.34	$2.50	$22.50	$11.67	$20.00	$36.00	$20.00	$23.00		
96	8	$950.00	$453.34	$2.50	$27.50	$11.67	$80.00	$36.00	$20.00	$23.00		
96	9	"$1,020.00"	$466.67	$2.50	$27.50	$11.67	$40.00	$36.00	$20.00	$23.00		
96	10	$940.00	$460.00	$2.50	$27.50	$11.67	$30.00	$36.00	$20.00	$23.00		
96	11	$940.00	$433.33	$2.50	$27.50	$11.67	$30.00	$36.00	$20.00	$23.00		
96	12	$940.00	$453.33	$2.50	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00		
97	1	"$1,070.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00		
97	2	"$1,180.00"	$480.00	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00		
97	3	"$1,180.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00		
97	4	"$1,180.00"	$466.67	$0.00	$27.50	$11.67	$60.00	$33.00	$20.00	$23.00		
97	5	"$1,170.00"	$466.67	$0.00	$27.50	$11.67	$30.00	$33.00	$20.00	$23.00		
97	6	"$1,180.00"	$466.67	$5.00	$35.00	$11.67	$30.00	$33.00	$20.00	$23.00		
97	7	"$1,160.00"	$466.67	$10.00	$40.00	$11.67	$30.00	$33.00	$20.00	$23.00		
97	8	"$1,180.00"	$466.67	$10.00	$40.00	$11.67	$30.00	$33.00	$20.00	$23.00		
97	9	"$1,160.00"	$506.67	$15.00	$45.00	$11.67	$30.00	$33.00	$20.00	$23.00		
97	10	"$1,160.00"	$486.67	$20.00	$45.00	$11.67	$30.00	$33.00	$20.00	$23.00		
97	11	"$1,180.00"	$486.67	$20.00	$45.00	$11.67	$30.00	$39.20	$20.00	$23.00		
97	12	"$1,180.00"	$486.67	$17.50	$45.00	$11.67	$30.00	$39.20	$20.00	$23.00		
98	1	"$1,100.00"	$486.67	$17.50	$40.00	$11.67	$30.00	$39.20	$20.00	$23.00		
98	2	"$1,100.00"	$486.67	$12.50	$35.00	$10.00	$30.00	$39.20	$20.00	$23.00		
98	3	"$1,140.00"	$480.00	$12.50	$35.00	$10.00	$30.00	$39.20	$20.00	$23.00		
98	4	"$1,140.00"	$473.33	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00		
98	5	"$1,050.00"	$460.00	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00		
98	6	$950.00	$453.33	$12.50	$30.00	$10.00	$30.00	$33.60	$20.00	$23.00		
98	7	$910.00	$433.33	$17.50	$30.00	$10.00	$30.00	$32.48	$20.00	$23.00		
98	8	$910.00	$413.33	$17.50	$35.00	$10.00	$30.00	$31.36	$20.00	$23.00		
98	9	$890.00	$413.33	$17.50	$35.00	$11.67	$30.00	$26.36	$20.00	$23.00		
98	10	$890.00	$433.33	$17.50	$30.00	$10.00	$30.00	$16.00	$20.00	$23.00		
98	11	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	$5.00	$20.00	$23.00		
98	12	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	-$13.00	$20.00	$23.00		
99	1	$890.00	$420.00	$17.50	$35.00	$10.00	$30.00	-$13.00	$20.00	$23.00		
99	2	$890.00	$420.00	$12.50	$35.00	$10.00	$30.00	-$8.00	$20.00	$23.00		
99	3	$890.00	$420.00	$12.50	$35.00	$13.33	$30.00	-$3.00	$20.00	$23.00		
99	4	$910.00	$420.00	$12.50	$35.00	$13.33	$30.00	-$13.00	$20.00	$23.00		
99	5	$950.00	$433.33	$12.50	$30.00	$13.33	$30.00	-$13.00	$20.00	$23.00		
99	6	$950.00	$433.33	$12.50	$30.00	$13.33	$30.00	-$3.00	$20.00	$23.00		
99	7	$930.00	$433.33	$17.50	$32.50	$15.00	$30.00	-$3.00	$20.00	$23.00		
99	8	$980.00	$433.33	$22.50	$42.50	$16.67	$30.00	-$3.00	$20.00	$23.00		
99	9	$980.00	$433.33	$22.50	$47.50	$20.00	$30.00	-$3.00	$20.00	$23.00		
99	10	$980.00	$433.33	$22.50	$47.50	$20.00	$30.00	-$6.00	$20.00	$23.00		
99	11	"$1,110.00"	$433.33	$27.50	$52.50	$20.00	$30.00	$6.00	$20.00	$23.00		
99	12	"$1,110.00"	$433.33	$27.50	$52.50	$20.00	$30.00	$11.00	$20.00	$23.00		
2000	1	"$1,270.00"	$466.67	$27.50	$52.50	$20.00	$30.00	$13.00	$20.00	$23.00		
2000	2	"$1,230.00"	$500.00	$32.50	$60.00	$21.67	$30.00	$4.00	$20.00	$23.00		
2000	3	"$1,230.00"	$500.00	$35.50	$62.50	$21.67	$30.00	$4.00	$20.00	$23.00		
2000	4	"$1,090.00"		$40.00	$75.00		$180.00	$2.50	$20.00	$23.00		
2000	5	"$1,090.00"		$40.00	$75.00		$180.00	$2.50	$20.00	$23.00		
2000	6	"$1,090.00"		$35.00	$72.50		$190.00	$2.50	$20.00	$23.00		
2000	7	"$1,140.00"		$37.50	$47.50		$190.00	$2.50	$20.00	$23.00		
2000	8	"$1,140.00"		$37.50	$42.50		$190.00	$2.50	$20.00	$23.00		
2000	9	"$1,140.00"		$37.50	$42.50		$190.00	$7.50	$20.00	$23.00		
2000	10	"$1,070.00"		$42.50	$52.50		$200.00	$7.50	$20.00	$23.00		
2000	11	"$1,070.00"		$37.50	$47.50		$200.00	$10.00	$20.00	$23.00		
2000	12	"$1,070.00"		$32.50	$42.50		$180.00	$10.00	$20.00	$23.00		
2001	1	"$1,110.00"		$32.50	$42.50		$160.00	$10.00	$20.00	$23.00		
2001	2	"$1,110.00"		$32.50	$42.50		$140.00	$10.00	$20.00	$23.00		
2001	3	"$1,110.00"		$32.50	$42.50		$100.00	$10.00	$20.00	$23.00		
2001	4	"$1,090.00"		$27.50	$37.50		$100.00	$10.00	$20.00	$23.00		
2001	5	"$1,050.00"		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	6	$990.00		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	7	$930.00		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	8	$910.00		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	9	$910.00		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	10	$890.00		$22.50	$32.50		$110.00	$10.00	$20.00	$23.00		
2001	11	$890.00		$22.50	$27.50		$100.00	$10.00	$17.00	$23.00		
2001	12	$890.00		$22.50	$27.50		$100.00	$10.00	$17.00	$23.00		
2002	1	$890.00		$22.50	$27.50		$90.00	$10.00	$17.00	$23.00		
2002	2	$910.00		$22.50	$27.50		$70.00	$10.00	$17.00	$23.00		
2002	3	$970.00		$22.50	$27.50		$120.00	$15.00	$17.00	$23.00		
2002	4	"$1,000.00"		$22.50	$27.50		$120.00	$10.00	$17.00	$23.00		
2002	5	$960.00		$22.50	$27.50		$130.00	$12.50	$17.00	$23.00		
2002	6	$940.00		$22.50	$27.50		$130.00	$17.50	$17.00	$23.00		
2002	7	$900.00		$22.50	$27.50		$130.00	$17.50	$17.00	$23.00		
2002	8	$905.00		$22.50	$27.50		$140.00	$32.50	$17.00	$23.00		
2002	9	$920.00		$22.50	$32.50		$140.00	$32.50	$17.00	$23.00		
2002	10	$960.00		$22.50	$27.50		$140.00	$32.50	$17.00	$23.00		
2002	11	"$1,000.00"		$22.50	$27.50		$140.00	$32.50	$17.00	$23.00		
2002	12	"$1,000.00"		$22.50	$32.50		$100.00	$32.50	$17.00	$23.00		
2003	1	"$1,015.00"		$17.50	$32.50		$100.00	$32.50	$17.00	$23.00		
2003	2	"$1,050.00"		$12.50	$27.50		$130.00	$32.50	$17.00	$23.00		
2003	3	"$1,030.00"		$12.50	$27.50		$120.00	$32.50	$17.00	$23.00		
2003	4	$990.00		$12.50	$27.50		$130.00	$32.50	$17.00	$23.00		
2003	5	"$1,010.00"		$12.50	$27.50		$130.00	$32.50	$17.00	$23.00		
2003	6	$965.00		$17.50	$27.50		$170.00	$35.00	$17.00	$23.00		
2003	7	"$1,020.00"		$12.50	$22.50		$190.00	$40.00	$17.00	$23.00		
2003	8	$960.00		$12.50	$22.50		$190.00	$40.00	$17.00	$23.00		
2003	9	$940.00		$12.50	$22.50		$170.00	$42.50	$17.00	$23.00		
2003	10	"$1,040.00"		$12.50	$27.50		$200.00	$42.50	$17.00	$23.00		
2003	11	"$1,040.00"		$12.50	$27.50		$190.00	$47.50	$17.00	$23.00		
2003	12	"$1,075.00"		$12.50	$27.50		$190.00	$47.50	$17.00	$23.00		
2004	1	"$1,175.00"		$12.50	$27.50		$190.00	$47.50	$17.00	$23.00		
2004	2	"$1,270.00"		$12.50	$32.50		$190.00	$47.50	$17.00	$23.00		
2004	3	"$1,210.00"		$12.50	$27.50		$190.00	$47.50	$17.00	$23.00		
2004	4	"$1,260.00"		$12.50	$27.50		$160.00	$55.00	$17.00	$23.00		
2004	5	"$1,160.00"		$12.50	$27.50		$150.00	$70.00	$17.00	$23.00		
2004	6	"$1,220.00"		$12.50	$27.50		$140.00	$62.50	$17.00	$23.00		
2004	7	"$1,220.00"		$12.50	$32.50		$140.00	$62.50	$17.00	$23.00		
2004	8	"$1,200.00"		$12.50	$32.50		$150.00	$70.00	$17.00	$23.00		
2004	9	"$1,240.00"		$12.50	$32.50		$190.00	$82.50	$17.00	$23.00		
2004	10	"$1,240.00"		$12.50	$32.50		$230.00	$87.50	$17.00	$23.00		
2004	11	"$1,260.00"		$12.50	$32.50		$260.00	$90.00	$17.00	$23.00		
2004	12	"$1,280.00"		$12.50	$32.50		$330.00	$87.50	$17.00	$23.00		
2005	1	"$1,300.00"		$17.50	$32.50		$370.00	$90.00	$17.00	$23.00		
2005	2	"$1,360.00"		$17.50	$32.50		$390.00	$90.00	$17.00	$23.00		
2005	3	"$1,460.00"		$22.50	$37.50		$390.00	$90.00	$17.00	$23.00		
2005	4	"$1,360.00"		$22.50	$37.50		$360.00	$90.00	$17.00	$23.00		
2005	5	"$1,240.00"		$27.50	$37.50		$530.00	$90.00	$17.00	$23.00		
2005	6	"$1,220.00"		$32.50	$37.50		$430.00	$90.00	$17.00	$23.00		
2005	7	"$1,200.00"		$32.50	$32.50		$410.00	$90.00	$17.00	$23.00		
2005	8	"$1,250.00"		$32.50	$32.50		$480.00	$90.00	$17.00	$23.00		
2005	9	"$1,190.00"		$32.50	$32.50		$550.00	$85.00	$17.00	$23.00		
2005	10	"$1,260.00"		$32.50	$32.50		$630.00	$82.50	$17.00	$23.00		
2005	11	"$1,340.00"		$32.50	$32.50		$610.00	$82.50	$17.00	$23.00		
2005	12	"$1,500.00"		$32.50	$32.50		$690.00	$77.50	$17.00	$23.00		
2006	1	"$1,750.00"		$22.50	$27.50		$330.00	$77.50	$17.00	$23.00		
2006	2	"$1,610.00"		$22.50	$27.50		$330.00	$77.50	$17.00	$23.00		
2006	3	"$1,780.00"		$22.50	$27.50		$330.00	$77.50	$17.00	$23.00		
2006	4	"$1,900.00"		$27.50	$27.50		$270.00	$77.50	$25.00	$37.50	$12.50	
2006	5	"$1,880.00"		$27.50	$27.50		$240.00	$77.50	$25.00	$37.50	$12.50	
2006	6	"$1,620.00"		$27.50	$27.50		$220.00	$77.50	$25.00	$37.50	$12.50	
2006	7	"$1,660.00"		$27.50	$27.50		$220.00	$77.50	$25.00	$37.50	$12.50	
2006	8	"$1,620.00"		$27.50	$27.50		$220.00	$77.50	$25.00	$37.50	$12.50	
2006	9	"$1,560.00"		$27.50	$27.50		$250.00	$77.50	$25.00	$37.50	$12.50	
2006	10	"$1,640.00"		$27.50	$27.50		$230.00	$77.50	$25.00	$37.50	$12.50	
2006	11	"$1,700.00"		$27.50	$27.50		$230.00	$77.50	$25.00	$37.50	$12.50	
2006	12	"$1,700.00"		$27.50	$27.50		$240.00	$82.50	$25.00	$37.50	$12.50	
2007	1	"$1,780.00"		$27.50	$27.50		$290.00	$77.50	$25.00	$37.50	$12.50	
2007	2	"$1,800.00"		$27.50	$27.50		$290.00	$77.50	$25.00	$37.50	$12.50	
2007	3	"$1,820.00"		$27.50	$27.50		$290.00	$82.50	$25.00	$37.50	$12.50	
2007	4	"$1,860.00"		$27.50	$27.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	5	"$1,800.00"		$27.50	$27.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	6	"$1,700.00"		$27.50	$27.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	7	"$1,680.00"		$92.50	$87.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	8	"$1,580.00"		$92.50	$87.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	9	"$1,520.00"		$97.50	$92.50		$310.00	$77.50	$25.00	$37.50	$12.50	
2007	10	"$1,640.00"		$102.50	$92.50		$340.00	$77.50	$25.00	$37.50	$12.50	
2007	11	"$1,640.00"		$107.50	$97.50		$380.00	$77.50	$25.00	$37.50	$12.50	
2007	12	"$1,580.00"		$107.50	$97.50		$380.00	$82.50	$25.00	$37.50	$12.50	
2008	1	"$1,720.00"		$112.50	$97.50		$370.00	$77.50	$25.00	$37.50	$12.50	
2008	2	"$2,060.00"		$127.50	$97.50		$350.00	$77.50	$25.00	$37.50	$12.50	
2008	3	"$2,060.00"		$127.50	$97.50		$350.00	$77.50	$25.00	$37.50	$12.50	
2008	4	"$1,980.00"		$127.50	$102.50		$330.00	$77.50	$25.00	$37.50	$12.50	
2008	5	"$1,960.00"		$127.50	$107.50		$330.00	$87.50	$25.00	$37.50	$12.50	
2008	6	"$2,050.00"		$127.50	$107.50		$330.00	$87.50	$25.00	$37.50	$12.50	
2008	7	"$1,860.00"		$122.50	$107.50		$370.00	$82.50	$25.00	$37.50	$12.50	
2008	8	"$1,700.00"		$122.50	$112.50		$470.00	$87.50	$25.00	$37.50	$12.50	
2008	9	"$1,480.00"		$122.50	$112.50		$490.00	$87.50	$25.00	$37.50	$12.50	
2008	10	"$1,140.00"		$117.50	$112.50		$240.00	$82.50	$25.00	$37.50	$12.50	
2008	11	"$1,040.00"		$32.50	$32.50		$50.00	$42.50	$25.00	$37.50	$12.50	
2008	12	$900.00		$12.50	$22.50		$40.00	$37.50	$25.00	$37.50	$12.50	
2009	1	$820.00		$7.50	$22.50		$220.00	$35.00	$25.00	$37.50	$12.50	
2009	2	$820.00		$2.50	$22.50		$230.00	$35.00	$25.00	$37.50	$12.50	
2009	3	$880.00		$7.50	$22.50		$220.00	$35.00	$25.00	$37.50	$12.50	
2009	4	$860.00		$35.00	$27.50		$260.00	$140.00	$17.50	$17.50	$2.50	
2009	5	$880.00		$45.00	$42.50		$260.00	$170.00	$17.50	$17.50	$2.50	$72.50
2009	6	"$1,060.00"		$52.50	$52.50		$260.00	$170.00	$17.50	$17.50	$2.50	$82.50
2009	7	"$1,180.00"		$75.00	$75.00		$360.00	$235.00	$17.50	$17.50	$2.50	$95.00
2009	8	"$1,160.00"		$80.00	$80.00		$400.00	$245.00	$17.50	$17.50	$2.50	$105.00
2009	9	"$1,200.00"		$82.50	$82.50		$340.00	$260.00	$17.50	$17.50	$2.50	$100.00
2009	10	"$1,220.00"		$82.50	$82.50		$340.00	$240.00	$17.50	$17.50	$2.50	$102.50
2009	11	"$1,320.00"		$82.50	$82.50		$340.00	$210.00	$17.50	$17.50	$2.50	$105.00
2009	12	"$1,440.00"		$90.00	$92.50		$300.00	$250.00	$17.50	$17.50	$2.50	$112.50
2010	1	"$1,340.00"		$97.50	$97.50		$300.00	$290.00	$17.50	$17.50	$2.50	$145.00
2010	2	"$1,400.00"		$105.00	$100.00		$300.00	$290.00	$17.50	$17.50	$2.50	$155.00
2010	3	"$1,580.00"		$112.50	$100.00		$340.00	$340.00	$17.50	$17.50	$2.50	$187.50
2010	4	"$1,480.00"		$107.50	$100.00		$400.00	$340.00	$17.50	$17.50	$2.50	$155.00
2010	5	"$1,380.00"		$110.00	$110.00		$360.00	$320.00	$17.50	$17.50	$2.50	$157.50
2010	6	"$1,340.00"		$105.00	$105.00		$460.00	$320.00	$17.50	$17.50	$2.50	$130.00
2010	7	"$1,380.00"		$95.00	$95.00		$460.00	$290.00	$17.50	$17.50	$2.50	$130.00
2010	8	"$1,420.00"		$100.00	$95.00		$360.00	$310.00	$17.50	$17.50	$2.50	$147.50
2010	9	"$1,580.00"		$107.50	$97.50		$360.00	$325.00	$17.50	$17.50	$2.50	$162.50
2010	10	"$1,660.00"		$117.50	$105.00		$360.00	$300.00	$17.50	$17.50	$2.50	$177.50
2010	11	"$1,560.00"		$122.50	$115.00		$360.00	$320.00	$17.50	$17.50	$2.50	$185.00
2010	12	"$1,690.00"		$122.50	$115.00		$400.00	$360.00	$17.50	$17.50	$2.50	$195.00
2011	1	"$1,720.00"		$132.50	$125.00		$440.00	$430.00	$17.50	$17.50	$2.50	$187.50
2011	2	"$1,780.00"		$137.50	$130.00		$420.00	$420.00	$17.50	$17.50	$2.50	$187.50
2011	3	"$1,880.00"		$142.50	$132.50		$420.00	$420.00	$17.50	$17.50	$2.50	$187.50
2011	4	"$2,000.00"		$147.50	$140.00		$440.00	$420.00	$17.50	$17.50	$2.50	$187.50
2011	5	"$1,870.00"		$147.50	$140.00		$480.00	$400.00	$17.50	$17.50	$2.50	$187.50
2011	6	"$1,850.00"		$152.50	$140.00		$540.00	$420.00	$17.50	$17.50	$2.50	$187.50
2011	7	"$1,890.00"		$162.50	$150.00		$540.00	$420.00	$17.50	$17.50	$2.50	$192.50
2011	8	"$1,710.00"		$162.50	$150.00		$480.00	$420.00	$17.50	$17.50	$2.50	$192.50
2011	9	"$1,580.00"		$165.00	$150.00		$480.00	$420.00	$17.50	$17.50	$2.50	$195.00
2011	10	"$1,600.00"		$155.00	$140.00		$480.00	$415.00	$17.50	$17.50	$2.50	$180.00
2011	11	"$1,470.00"		$110.00	$105.00		$480.00	$385.00	$17.50	$17.50	$2.50	$152.50
2011	12	"$1,410.00"		$105.00	$105.00		$480.00	$415.00	$17.50	$17.50	$2.50	$152.50
2012	1	"$1,620.00"		$105.00	$105.00		$480.00	$445.00	$17.50	$17.50	$2.50	$157.50
2012	2	"$1,610.00"		$110.00	$105.00		$460.00	$420.00	$17.50	$17.50	$2.50	$160.00
2012	3	"$1,560.00"		$130.00	$120.00		$460.00	$418.00	$17.50	$17.50	$2.50	$165.00
2012	4	"$1,540.00"		$130.00	$120.00		$540.00	$410.00	$17.50	$17.50	$2.50	$160.00
2012	5	"$1,440.00"		$120.00	$110.00		$560.00	$410.00	$17.50	$17.50	$2.50	$155.00
2012	6	"$1,360.00"		$117.50	$110.00		$500.00	$355.00	$17.50	$17.50	$2.50	$150.00
2012	7	"$1,420.00"		$110.00	$95.00		$460.00	$310.00	$17.50	$17.50	$2.50	$145.00
2012	8	"$1,420.00"		$85.00	$75.00		$420.00	$385.00	$17.50	$17.50	$2.50	$125.00
2012	9	"$1,570.00"		$75.00	$75.00		$420.00	$360.00	$17.50	$17.50	$2.50	$110.00
2012	10	"$1,420.00"		$90.00	$90.00		$420.00	$317.00	$17.50	$17.50	$2.50	$125.00
2012	11	"$1,560.00"		$100.00	$100.00		$420.00	$362.00	$17.50	$17.50	$2.50	$140.00
2012	12	"$1,600.00"		$95.00	$90.00		$420.00	$362.00	$17.50	$17.50	$2.50	$130.00
2013	1	"$1,581.00"		$82.50	$97.50		$420.00	$350.00	$17.50	$17.50	$2.50	$120.00
2013	2	"$1,520.00"		$87.50	$97.50		$420.00	$340.00	$17.50	$17.50	$2.50	$125.00
2013	3	"$1,521.00"		$92.50	$97.50		$420.00	$370.00	$17.50	$17.50	$2.50	$135.00
2013	4	"$1,540.00"		$92.50	$97.50		$420.00	$350.14	$17.50	$17.50	$2.50	$135.00
2013	5	"$1,520.00"		$82.50	$92.50		$420.00	$327.00	$17.50	$17.50	$2.50	$125.00
2013	6	"$1,380.00"		$82.50	$87.50		$460.00	$315.00	$17.50	$17.50	$2.50	$125.00
2013	7	"$1,430.00"		$82.50	$82.50		$460.00	$350.00	$17.50	$17.50	$2.50	$130.00
2013	8	"$1,420.00"		$77.50	$77.50		$420.00	$350.00	$17.50	$17.50	$2.50	$135.00
2013	9	"$1,400.00"		$77.50	$77.50		$420.00	$340.00	$17.50	$17.50	$2.50	$135.00
2013	10	"$1,420.00"		$77.50	$77.50		$420.00	$340.00	$17.50	$17.50	$2.50	$135.00
