ARTWORK CITY,ARWORK ADDRESS,ZIP CODE,ARTWORK LATITUDE,ID NUMBER,ARTIST,TITLE,DATE,MATERIALS,MEASUREMENTS,CREDIT LINE,ARTWORK SITE,SPECIFIC LOCATION,Location 1
Cathlamet,"PO Box 398, ",99349,46.200271,WSAC1995.385.000,"Garvey, Dick",CP Hopper,1992,Silver dye bleach print,18 in x 22 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Wahkiakum School District,Wahkiakum Middle School,"Middle School, Main Hallway","(46.200271, -123.377484)"
Bellevue,"3000 Landerholm Circle SE, K100F",98225-1599,47.585715,WSAC2000.003.000,Jim Hirschfield and Sonya Ishii,Ring of Fire,2002,Powdercoated steel and light,124 in x 123 in x 123 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue Community College,Bellevue College,R building courtyard,"(47.585715, -122.149705)"
Bellevue,"3000 Landerholm Circle SE, K100F",98007,47.585918,WSAC2004.026.000,"Lavadour, James","Sun, Moon, Horizon",2004,Oil on Baltic birch plywood,72 in x 150 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue Community College,Bellevue College,L100 Student lounge,"(47.585918, -122.148723)"
Bellevue,"301 151st Pl NE, ",98223,47.639293,WSAC2010.019.000,"Frugé-Brown, Kathleen",Lake Sammamish Idyll,2011,Vitreous enamel on steel,3.5 ft  x 21 ft x 1 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue School District,Ardmore Elementrary School,above library entrance,"(47.639293, -122.117608)"
Bellevue,"4333 Factoria Blvd. SE, ",98148,47.568188,WSAC2006.014.000,"Ralston, Roger",Ryzomic Possibilities: smiling here and there,2007,Glass mosaic on aluminum with steel support,27 ft x 7 1/2 ft x 2 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue School District,Newport High School,Grassy area in middle tier of terraced landscape - leading down to main student entryway,"(47.568188, -122.171754)"
Bellingham,"1250 Kenoyer St., ",99026,48.745526,WSAC1995.064.000,"Garvey, Dick",School Window,1984,Silver dye bleach print,22 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellingham School District,Kulshan Middle School,Main office,"(48.745526, -122.432750)"
Bellingham,"194 W Laurel Road, ",98226,48.856057,WSAC2013.002.003,"Wehrle, John",The Judgment of Paris,2014,Acrylic on polyester,132 in x 132 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Meridian School District,Meridian High School,Main entrance atrium; near admin offices; eastern end,"(48.856057, -122.491638)"
Bellingham,"194 W Laurel Road, ",98226,48.856057,WSAC2013.002.004,"Wehrle, John",The Judgment of Paris,2014,Acrylic on polyester,96 in x 144 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Meridian School District,Meridian High School,Main entrance atrium; near admin offices; eastern end,"(48.856057, -122.491638)"
Bellingham,"194 W Laurel Road, ",98226,48.856057,WSAC2013.002.002,"Wehrle, John",The Judgment of Paris,2014,Acrylic on polyester,60 in x 372 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Meridian School District,Meridian High School,Main entrance atrium; near admin offices; eastern end,"(48.856057, -122.491638)"
Bellingham,"194 W Laurel Road, ",99011-,48.856057,WSAC2013.002.001,"Wehrle, John",The Judgment of Paris,2014,Acrylic on polyester,96 in x 144 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Meridian School District,Meridian High School,Main entrance atrium; near admin offices; eastern end,"(48.856057, -122.491638)"
Bellingham,"237 W Kellogg RD, ",99352,48.795303,WSAC2002.017.000,"Govedare, David",Cosmic Totem,2004,"Weathering steel, copper, and blown glass",216 in x 192 in x 9 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Whatcom Community College,Whatcom Community College,Exterior of Kulshan Hall,"(48.795303, -122.493907)"
Bellingham,"2713 Alderwood Ave, ",98944,48.778667,WSAC2010.005.000,"Samuelson, Frank",Love this Beautiful Land,2010,Acrylic on canvas,4 ft x 14 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellingham School District,Shuksan Middle School,Main foyer lobby,"(48.778667, -122.502033)"
Bellingham,"3028 Lindbergh Ave, ",98225-1599,48.765304,WSAC2003.047.000,"Niemi, Ries",Trades Column,2005,Stainless steel,28 ft x 12 ft x 12ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellingham Technical College,Bellingham Technical College,Grassy area between Bldg G & Colleges Services Bld,"(48.765304, -122.509536)"
Bellingham,"3028 Lindbergh Ave, ",98387-6828,48.765448,WSAC2009.019.000,"Averbuch, Ilan",The House and the Boat,2012,Reclaimed granite and weathering steel,20 ft x 17 ft x 8 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellingham Technical College,Bellingham Technical College,Campus Center Building - exterior plaza,"(48.765448, -122.511014)"
Bellingham,"516 High St., ",98225,48.73208833710472,WSAC2009.001.000,"Suh, Do Ho",Cause and Effect,2012,Cast resin and stainless steel,21 ft x 18 ft x 10 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Western Washington University,Western Washington University,Academic Instructional Center; 2nd and 3rd floors - suspended from 3rd floor ceiling,"(48.73208833710472, -122.48579158968812)"
Bellingham,"516 High St., ",99224,48.735071,WSAC1987.054.000,"Aycock, Alice","The Islands of the Rose Apple Tree Surrounded by the Oceans of the World for You, Oh My Darling",1987,"Concrete, water, and pump",24 in x 21 ft x 27 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Western Washington University,Western Washington University,Adjacent to Chemistry & Science Edu Lecture Hall,"(48.735071, -122.486486)"
Bellingham,"516 High St., ",98225,48.736411,WSAC2012.025.003,Rebecca Cummins and Paul DeMarinis,Lunar Drift,2014,"Digital prints, acrylic",,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Western Washington University,Western Washington University,"Co-lab area of Miller Hall, south and west walls","(48.736411, -122.485217)"
Bellingham,"516 High St., ",98225,48.736411,WSAC2012.025.002,Rebecca Cummins and Paul DeMarinis,Lunar Drift,2014,"Digital prints, acrylic",,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Western Washington University,Western Washington University,"Co-lab area of Miller Hall, south and west walls","(48.736411, -122.485217)"
Bellingham,"516 High St., ",98225,48.736411,WSAC2012.025.001,Rebecca Cummins and Paul DeMarinis,Lunar Drift,2014,"Electronics, metal, glass",,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Western Washington University,Western Washington University,"Co-lab area of Miller Hall, south and west walls","(48.736411, -122.485217)"
Bellingham,"Goltz-Murray Archives Building, WWU MS-9123, ",98225-9123,48.726075,WSAC1993.112.000,"Bartow, Rick",Proud Hawk,1992,Pastel and graphite on paper,22 1/2 in x 19 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Secretary of State,Northwest Regional Archives,"State archives, Bellingham","(48.726075, -122.485749)"
Bellingham,"Goltz-Murray Archives Building, WWU MS-9123, ",98277-2377,48.726075,WSAC1993.111.000,"Bartow, Rick",Resting Hawk Watching,1992,Pastel on paper,22 1/2 in x 19 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Secretary of State,Northwest Regional Archives,"State archives, Bellingham","(48.726075, -122.485749)"
Black Diamond,"31135 228th AVE SE, ",98122-9905,47.323547,WSAC1996.218.000,"Lawrence, Jacob",Carpenters,1977,Lithograph,21 3/4 in x 25 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Kent School District,Sawyer Woods Elementary,Main hall by office,"(47.323547, -122.040008)"
Bonney Lake,"10920 199th Ave. Ct. E., ",98391,47.159319,WSAC2005.017.001,"Wyne, Sheila",Phi - Eye of the Beholder,2007,Glass terrazzo and aluminum,60 in x 96 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Sumner School District,Bonney Lake High School,commons floor near glass entryway,"(47.159319, -122.168532)"
Bonney Lake,"10920 199th Ave. Ct. E., ",98011,47.160072,WSAC2005.017.002,"Wyne, Sheila",Flight from a Small World,2007,"Laminated clear fir, aluminum, stainless steel, and powder coated aluminum",72 in x 10 in x 18 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Sumner School District,Bonney Lake High School,2nd floor clerestory,"(47.160072, -122.169052)"
Bonney Lake,"5909 Myers Road E., ",98023,47.202766,WSAC2011.023.00A-L,"Nachman, Roger",Kaleidoscape in 12-Part Harmony,2012,Kiln-formed glass,6 ft x 66 ft x 1 1/2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Sumner School Distict,Lakeridge Middle School,Commons - north windows,"(47.202766, -122.1897)"
Bothell,"11125 NE 180th Street, ",98011,47.758685,WSAC2002.021.003,"Basa, Lynn","""Nick: Cracking the Maze"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway west,"(47.758685, -122.191351)"
Bothell,"11125 NE 180th Street, ",98011,47.758685,WSAC2002.021.003,"Basa, Lynn","""Nick: Cracking the Maze"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway west,"(47.758685, -122.191351)"
Bothell,"11125 NE 180th Street, ",98011,47.758685,WSAC2002.021.008,"Basa, Lynn","""Bruce: The Solitary Gardner"" from the series N = 10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway west,"(47.758685, -122.191351)"
Bothell,"11125 NE 180th Street, ",98011,47.758685,WSAC2002.021.008,"Basa, Lynn","""Bruce: The Solitary Gardner"" from the series N = 10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway west,"(47.758685, -122.191351)"
Bothell,"11125 NE 180th Street, ",98011,47.758699,WSAC2002.021.004,"Basa, Lynn","""Melissa: Loud Quiet"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway east,"(47.758699, -122.191334)"
Bothell,"11125 NE 180th Street, ",98011,47.758699,WSAC2002.021.004,"Basa, Lynn","""Melissa: Loud Quiet"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 2 hallway east,"(47.758699, -122.191334)"
Bothell,"11125 NE 180th Street, ",98011,47.758703,WSAC2002.021.002,"Basa, Lynn","""Sarah: Rational Exuberance"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 1 west elevator lobby,"(47.758703, -122.191334)"
Bothell,"11125 NE 180th Street, ",98011,47.758703,WSAC2002.021.002,"Basa, Lynn","""Sarah: Rational Exuberance"" from the series N=10",2004,Wool and silk,4 ft x 3 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW2 - Lower Level 1 west elevator lobby,"(47.758703, -122.191334)"
Bothell,"11125 NE 180th Street, ",98011,47.758866,WSAC2001.057.016,"Rudolph, Glenn","Mrs. Schwalm, Tukwila",1978,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, east wall","(47.758866, -122.190700)"
Bothell,"11125 NE 180th Street, ",98011,47.758866,WSAC2001.057.016,"Rudolph, Glenn","Mrs. Schwalm, Tukwila",1978,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, east wall","(47.758866, -122.190700)"
Bothell,"11125 NE 180th Street, ",98011,47.758881,WSAC2001.057.026,"Rudolph, Glenn","Lost Lake, Montana",1990,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, east wall","(47.758881, -122.190678)"
Bothell,"11125 NE 180th Street, ",98011,47.758881,WSAC2001.057.026,"Rudolph, Glenn","Lost Lake, Montana",1990,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, east wall","(47.758881, -122.190678)"
Bothell,"11125 NE 180th Street, ",98011,47.758881,WSAC2001.057.012,"Rudolph, Glenn",Windy Point Tunnel,1991,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, north hallway, east wall","(47.758881, -122.190678)"
Bothell,"11125 NE 180th Street, ",98011,47.758881,WSAC2001.057.012,"Rudolph, Glenn",Windy Point Tunnel,1991,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, north hallway, east wall","(47.758881, -122.190678)"
Bothell,"11125 NE 180th Street, ",98011,47.758888,WSAC2001.057.017,"Rudolph, Glenn",Lyle,1984,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, north hallway, west wall","(47.758888, -122.190689)"
Bothell,"11125 NE 180th Street, ",98011,47.758888,WSAC2001.057.017,"Rudolph, Glenn",Lyle,1984,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, north hallway, west wall","(47.758888, -122.190689)"
Bothell,"11125 NE 180th Street, ",98011,47.758889,WSAC2002.023.002,"Arreguin, Alfredo",Los Monos de Monte Alban,2003,Oil on canvas,5 ft x 4 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW1 - Main Staircase,"(47.758889, -122.190633)"
Bothell,"11125 NE 180th Street, ",98011,47.758889,WSAC2002.023.002,"Arreguin, Alfredo",Los Monos de Monte Alban,2003,Oil on canvas,5 ft x 4 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,UW1 - Main Staircase,"(47.758889, -122.190633)"
Bothell,"11125 NE 180th Street, ",98011,47.758895,WSAC2001.057.011,"Rudolph, Glenn",Grandma Demmert,1980,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, west wall","(47.758895, -122.190657)"
Bothell,"11125 NE 180th Street, ",98011,47.758895,WSAC2001.057.011,"Rudolph, Glenn",Grandma Demmert,1980,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, south hallway, west wall","(47.758895, -122.190657)"
Bothell,"11125 NE 180th Street, ",98011,47.758933,WSAC2001.057.008,"Rudolph, Glenn","Twin Tunnels, Snowshed",1993,Gelatin silver print,30 in x 40 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with University of Washington - Bothell and Cascadia Community College,University of Washington - Bothell,"UW1 - 2nd floor, north hallway, west wall","(47.758933, -122.190670)"
